"STATISTIC","Statistic Label","TLIST(M1)","Month","C02196V02652","State","UNIT","VALUE"
"MSM01C1","Gross Electricity Output","197501","1975M01","-","State","Gigawatt Hours","752"
"MSM01C1","Gross Electricity Output","197502","1975M02","-","State","Gigawatt Hours","653"
"MSM01C1","Gross Electricity Output","197503","1975M03","-","State","Gigawatt Hours","679"
"MSM01C1","Gross Electricity Output","197504","1975M04","-","State","Gigawatt Hours","603"
"MSM01C1","Gross Electricity Output","197505","1975M05","-","State","Gigawatt Hours","550"
"MSM01C1","Gross Electricity Output","197506","1975M06","-","State","Gigawatt Hours","505"
"MSM01C1","Gross Electricity Output","197507","1975M07","-","State","Gigawatt Hours","554"
"MSM01C1","Gross Electricity Output","197508","1975M08","-","State","Gigawatt Hours","503"
"MSM01C1","Gross Electricity Output","197509","1975M09","-","State","Gigawatt Hours","586"
"MSM01C1","Gross Electricity Output","197510","1975M10","-","State","Gigawatt Hours","673"
"MSM01C1","Gross Electricity Output","197511","1975M11","-","State","Gigawatt Hours","719"
"MSM01C1","Gross Electricity Output","197512","1975M12","-","State","Gigawatt Hours","772"
"MSM01C1","Gross Electricity Output","197601","1976M01","-","State","Gigawatt Hours","771"
"MSM01C1","Gross Electricity Output","197602","1976M02","-","State","Gigawatt Hours","737"
"MSM01C1","Gross Electricity Output","197603","1976M03","-","State","Gigawatt Hours","768"
"MSM01C1","Gross Electricity Output","197604","1976M04","-","State","Gigawatt Hours","661"
"MSM01C1","Gross Electricity Output","197605","1976M05","-","State","Gigawatt Hours","649"
"MSM01C1","Gross Electricity Output","197606","1976M06","-","State","Gigawatt Hours","592"
"MSM01C1","Gross Electricity Output","197607","1976M07","-","State","Gigawatt Hours","601"
"MSM01C1","Gross Electricity Output","197608","1976M08","-","State","Gigawatt Hours","579"
"MSM01C1","Gross Electricity Output","197609","1976M09","-","State","Gigawatt Hours","659"
"MSM01C1","Gross Electricity Output","197610","1976M10","-","State","Gigawatt Hours","743"
"MSM01C1","Gross Electricity Output","197611","1976M11","-","State","Gigawatt Hours","803"
"MSM01C1","Gross Electricity Output","197612","1976M12","-","State","Gigawatt Hours","880"
"MSM01C1","Gross Electricity Output","197701","1977M01","-","State","Gigawatt Hours","883"
"MSM01C1","Gross Electricity Output","197702","1977M02","-","State","Gigawatt Hours","802"
"MSM01C1","Gross Electricity Output","197703","1977M03","-","State","Gigawatt Hours","819"
